tensor(-1887.3069, device='cuda:0')
tensor(-1992.9928, device='cuda:0')
tensor(-1995.8215, device='cuda:0')
tensor(-1987.2495, device='cuda:0')
tensor(-2006.8394, device='cuda:0')
tensor(-2078.0674, device='cuda:0')
tensor(-2026.5454, device='cuda:0')
tensor(-1974.8826, device='cuda:0')
tensor(-1926.2656, device='cuda:0')
tensor(-2021.8716, device='cuda:0')
tensor(-2094.5957, device='cuda:0')
tensor(-2062.6936, device='cuda:0')
tensor(-2097.7310, device='cuda:0')
tensor(-2018.7574, device='cuda:0')
tensor(-2127.4165, device='cuda:0')
tensor(-2050.7791, device='cuda:0')
tensor(-2125.5129, device='cuda:0')
tensor(-2076.4888, device='cuda:0')
tensor(-1987.8704, device='cuda:0')
tensor(-2055.3284, device='cuda:0')
tensor(-2063.9534, device='cuda:0')
tensor(-2020.3955, device='cuda:0')
tensor(-2034.9760, device='cuda:0')
tensor(-2051.5774, device='cuda:0')
tensor(-2023.6249, device='cuda:0')
tensor(-1984.6658, device='cuda:0')
tensor(-1977.3077, device='cuda:0')
tensor(-1976.5942, device='cuda:0')
tensor(-1893.6069, device='cuda:0')
tensor(-2033.7019, device='cuda:0')
tensor(-2140.1509, device='cuda:0')
tensor(-2085.3489, device='cuda:0')
tensor(-2012.5000, device='cuda:0')
tensor(-2062.1279, device='cuda:0')
tensor(-2074.2490, device='cuda:0')
tensor(-2066.2200, device='cuda:0')
tensor(-2052.7161, device='cuda:0')
tensor(-1984.7299, device='cuda:0')
tensor(-2029.3090, device='cuda:0')
tensor(-1931.8392, device='cuda:0')
tensor(-1925.0619, device='cuda:0')
tensor(-1923.6450, device='cuda:0')
tensor(-2082.9707, device='cuda:0')
tensor(-2130.5442, device='cuda:0')
tensor(-2111.4185, device='cuda:0')
tensor(-1957.8268, device='cuda:0')
tensor(-2028.2407, device='cuda:0')
tensor(-1963.5872, device='cuda:0')
tensor(-1945.3917, device='cuda:0')
tensor(-1956.0071, device='cuda:0')
tensor(-1923.6282, device='cuda:0')
tensor(-1972.5762, device='cuda:0')
tensor(-2130.6372, device='cuda:0')
tensor(-1981.4805, device='cuda:0')
tensor(-1924.4170, device='cuda:0')
tensor(-1935.2120, device='cuda:0')
tensor(-2041.1332, device='cuda:0')
tensor(-2012.6934, device='cuda:0')
tensor(-2005.7512, device='cuda:0')
tensor(-1991.3093, device='cuda:0')
tensor(-2091.5610, device='cuda:0')
tensor(-2020.7622, device='cuda:0')
tensor(-2058.1680, device='cuda:0')
tensor(-2072.6758, device='cuda:0')
tensor(-2061.9539, device='cuda:0')
tensor(-1996.6879, device='cuda:0')
tensor(-1958.3655, device='cuda:0')
tensor(-1996.5062, device='cuda:0')
tensor(-2064.5107, device='cuda:0')
tensor(-1922.1385, device='cuda:0')
tensor(-1998.9467, device='cuda:0')
tensor(-1992.3090, device='cuda:0')
tensor(-2057.8601, device='cuda:0')
tensor(-2029.0317, device='cuda:0')
tensor(-2106.5403, device='cuda:0')
tensor(-1955.3818, device='cuda:0')
tensor(-1960.8354, device='cuda:0')
tensor(-2023.3745, device='cuda:0')
tensor(-1927.9792, device='cuda:0')
tensor(-2003.8219, device='cuda:0')
tensor(-1980.3398, device='cuda:0')
tensor(-2037.3154, device='cuda:0')
tensor(-2109.1416, device='cuda:0')
tensor(-2070.2712, device='cuda:0')
tensor(-1966.8755, device='cuda:0')
tensor(-1929.6375, device='cuda:0')
tensor(-1930.4722, device='cuda:0')
tensor(-2051.2166, device='cuda:0')
tensor(-1926.9723, device='cuda:0')
tensor(-2036.3643, device='cuda:0')
tensor(-2020.2993, device='cuda:0')
tensor(-2014.5479, device='cuda:0')
tensor(-1944.6606, device='cuda:0')
tensor(-2067.5574, device='cuda:0')
tensor(-1987.2506, device='cuda:0')
tensor(-2044.4773, device='cuda:0')
tensor(-2069.7932, device='cuda:0')
tensor(-2106.7263, device='cuda:0')
tensor(-2092.0232, device='cuda:0')
tensor(-2015.7079, device='cuda:0')
tensor(-1924.6638, device='cuda:0')
tensor(-2109.2852, device='cuda:0')
tensor(-2023.1370, device='cuda:0')
tensor(-2122.2104, device='cuda:0')
tensor(-1964.7107, device='cuda:0')
tensor(-1930.8206, device='cuda:0')
tensor(-2037.2954, device='cuda:0')
tensor(-1979.1843, device='cuda:0')
tensor(-1954.9006, device='cuda:0')
tensor(-2031.5566, device='cuda:0')
tensor(-1981.7257, device='cuda:0')
tensor(-2054.0906, device='cuda:0')
tensor(-2001.6790, device='cuda:0')
tensor(-1863.5349, device='cuda:0')
tensor(-2033.1744, device='cuda:0')
tensor(-1959.5872, device='cuda:0')
tensor(-1904.0430, device='cuda:0')
tensor(-1942.7097, device='cuda:0')
tensor(-2028.1973, device='cuda:0')
tensor(-1972.2454, device='cuda:0')
tensor(-1953.9299, device='cuda:0')
tensor(-1985.5219, device='cuda:0')
tensor(-2031.9050, device='cuda:0')
tensor(-2050.1416, device='cuda:0')
tensor(-2017.1500, device='cuda:0')
tensor(-1984.5439, device='cuda:0')
tensor(-2039.6489, device='cuda:0')
tensor(-2042.0265, device='cuda:0')
tensor(-2099.6616, device='cuda:0')
tensor(-2044.5073, device='cuda:0')
tensor(-2069.4026, device='cuda:0')
tensor(-1913.4661, device='cuda:0')
tensor(-2089.8657, device='cuda:0')
tensor(-2087.7837, device='cuda:0')
tensor(-2053.4900, device='cuda:0')
tensor(-2085.4604, device='cuda:0')
tensor(-2025.6959, device='cuda:0')
tensor(-2109.1975, device='cuda:0')
tensor(-1919.3934, device='cuda:0')
tensor(-2002.8387, device='cuda:0')
tensor(-2000.2090, device='cuda:0')
tensor(-2069.3145, device='cuda:0')
tensor(-2070.6289, device='cuda:0')
tensor(-2038.9104, device='cuda:0')
tensor(-1942.9113, device='cuda:0')
tensor(-1967.0586, device='cuda:0')
tensor(-1985.1794, device='cuda:0')
tensor(-1970.0083, device='cuda:0')
tensor(-2002.4281, device='cuda:0')
tensor(-1987.7075, device='cuda:0')
tensor(-2064.7925, device='cuda:0')
tensor(-2039.2129, device='cuda:0')
